"Nama","Review",""
"Javier Aditya","Gokkks banget lah travelokaa ...tapi sayang si paylater nya belum bisa buat transaksi pulsa / paket data ..sangat di sayangkan",""
"Free WD","Penerbangan tgl 27,refund nya diajuin tgl 25 pas 2 jam setelah pembelian.. Dan itu dikenakan ptongan 60% Really, ga dosa apa makan uang haram kek gini",""
"fen di","kode penerbangan dari bandara APT Pranoto Samarinda sekarang adalah AAP tapi kenapa kode penerbangan lama SRI masih muncul ditraveloka, mohon dikoreksi",""
"Feri Saputro","Tolong dong traveloka di perbaiki secepat nya masalah di ""detail info pesawat"". Setiap di click , selalu saja eror. Konsumen kan pengen melihat jenis pesawat dan fasilitas yang di berikan oleh maskapai pesawat.",""
"Ismail Taruna","Mohon diperhatikan pihak treveloka saya bouking tiket dari banjarmasin tujuan makassar sesampai dibandara tujuan koper saya habis dibongkar barang dan uang saya hilang mohon dikonfirmasi pihak treveloka Saya kehilangan uang dan jam tangan saya dikoper saya",""
"Ilyas Diwanna","Beli tiket kereta aja gangguan terus, aplikasi apa ini, saya sudah top up saldo buat beli tiket jadi gagal terpakai",""
"Ricky Chandra","Lebih dipermudah bayarnya selain bank bni saja....bank lainnya juga bisa pake debit card dengan aktivasi kode nomor hp aktif",""
"Ko Chun","Pengalaman terburuk. Gw cari tiket pas uda di booking eh harganya auto naik dadakan. Ini sama aja pembodohan dan pembohongan publik. Bukan dpt harga terbaik malah hrs nunggu2 perbaikan dll. akan banyak bintang 1 setelah ini.",""
"Monyet Api","Voucher hotel kita ajuin reschedul tapi permohonan reschedule di tolak, setelah reschedule kita cancel, lalu kita pesan lagi di tgl yang lain, jadi 2 pesanan hotel di tanggal berbeda, lalu voucher yg awalnya kita ajuin reschedule di cancel secara sepihak oleh traveloka, kan kita minta reschedule buk...Ulasan LengkapVoucher hotel kita ajuin reschedul tapi permohonan reschedule di tolak, setelah reschedule kita cancel, lalu kita pesan lagi di tgl yang lain, jadi 2 pesanan hotel di tanggal berbeda, lalu voucher yg awalnya kita ajuin reschedule di cancel secara sepihak oleh traveloka, kan kita minta reschedule bukan refund, dan itu awalnya kita ngajuin reschedule di tolak. dan poin hangus. kebijakan macam apa ini?",""
"Gifari Dirgantama","Applikasi booking tiket dan hotel paling terbaik. Terus tingkatkan performa dengan mengurangi bug yang ada, supaya Traveloka menjadi applikasi paling dibutuhkan oleh customer dalam urusan membooking tiket dan hotel. Terima kasih",""
"Muhamad Algitiki","Apk aneh. Sangat aneh.. konfrm foto ktp sdh foto 30x masih tetap buram... Meskipun pake foto hp mahal juga tetap gagal.... Penipuan data ...",""
"Ahmad Sultan Nur Aziz","Paylaternya payah, upload foto aja gagal melulu , dikasi gambar wajah 20 kali gagal lama banget,giliran dikasih jari tengah langsung kedetectnya cpt",""
"Fuja Hikmatullah","saya kecewa dengan pemesanannya, saya memesan untuk tanggal 31 Desember 2019 tp yg saya terima 31 Desember 2020.",""
"Ikhwan Ikhwan","Mohon dengan sangat agar pengembalian uang atas refund pemesanan di perjelas. Sudah mengikuti alur/peraturannya namun uang tidak kunjung masuk ke rekening tujuan.",""
