"Nama","Review",""
"Hendro Gaol","Lihat tanggal di bulan april harga 390ribu.. pas sudah di klik hari nya harga jadi 694ribu tolong di perbaiki sistem nya",""
"AYSAEFUDIN FAMILY","Sangat amat mengecewakan.!!!!!!!!! Lagi rebutan tiket kereta, malah aplikasi ny gak bisa d akses sama sekali!!!!!! Padahal jaringan 4G & ga sedang buka aplikasi lain!!!",""
"zaenal habib","Payah kalii saya udah bayar keluar e tiket datang ke hotel katanya ko bum terdaftar aneh banget lama sekali penyelesaian nya",""
"Windy R Alesia","Aplikasi pembunuh travel agent kecil hahaha. Mantab banyak discount tapi sayang sekarang syarat & ketentuan metode pembayaran & minimal transaksi nya meningkat jadi buat mendapatkan discount tak semudah dulu.",""
"Alen Christian","Aplikasi tai!! Refund tiket susah skali!!!",""
"siti nurachmah","PARAH !!!!!!!! refund tiket dari awal CS ngmng cuma 14hari tiba"" suruh nunggu 30hari !!!!! sudah 30hari masih di suruh nunggu !!!!!!!",""
"Dwitri Dwitri","Tidak bagus sangat merugikan. Nyesel pesen disini. Baru pesen sejam kemudian di cancel uang ga kembali alasan kebijakanlah. Ini indonesia tulis kebijakan pakai bahasa indonesia meski ada bhsa inggris dikasih artinya. Ambil tuh duit biar ga berkah ambil hak org.",""
"Syafrial Purba","Sangat mengecewakan pengembalian kerna pandemi tidak seperti traveloka bisa 100% dan pengembalian uang cukup lama padahal prosesing pembelian bisa diproses dalam beberapa menit tapi giliran ada wabah untuk pengembalian sangat dipersulit",""
"Alwi Hanifudin","Oke gw jadiin pelajaran,GA AKAN GW BELI LAGI TIKET DISINI ANJING. Dan buat kalian yang mau beli mending jangan disini sumpah lama banget proses refundnya.",""
"Akas Chanel","Pelayanan buruk. Pengen ngomong kasar K*NTOL uang habis sahur dan buka pake air putih. Pengen ngerain nasi aja susah tinggal nunggu di usir dari kontrakan aja",""
"Mc Tradein","Katanya Refund 100% tidak menjamin refund hanya dibayar 40% aplikasi apa ini dipotong apalagi pemesanna belom 1 x 24 jam bisa dihitung dalam menit....ee main potong aja....mending traveloka dibayar full 100% kalau refund ada kesalah rute aja,, gk akan pakai lagi ni aplikasi ini lagi.",""
"Purnomo Aji Saputro","Mengecewakan pelayanan customer lambat",""
"Cindyef Fortuna","Sudah sering langganan pesan disini tapi sangat kecewa dgn pelayanannya. Sudah transfer full tapi voucher belum terbit. Sudah proses refund tapi uang refund tidak pernah di transfer. Aplikasi tidak bonafit. Beda sama aplikasi sebelah yg proses refund gak ribet dan banyak alasan!!! Customer serviceny...Ulasan LengkapSudah sering langganan pesan disini tapi sangat kecewa dgn pelayanannya. Sudah transfer full tapi voucher belum terbit. Sudah proses refund tapi uang refund tidak pernah di transfer. Aplikasi tidak bonafit. Beda sama aplikasi sebelah yg proses refund gak ribet dan banyak alasan!!! Customer servicenya terlalu bertele-tele. Diminta bukti sudah refund banyak alasan!!!",""
"SINYO LE","Aplikasi eror gk bsa di pake",""
"Wiedy Yudithya","Di tiket bilang nya dapat free makanan dr penerbangan citilink CGK - PTK 29 Jan 2020 pukul 13.00. Tetapu rang tua saya bilang mereka tidak memperoleg nya pas dipesawat. Apakah orang tua saya harus minta2 di pesawat nya? Kecewa banget.",""
"Febry Idea Produk","Refund kok gak bisa gmn ni. H-3 keberangkatan kok masih belom di proses. Padahal udah 3 hari lalu saja ajukan tapi belom ada proses.setelah proses masih nunggu lagi disetujui",""
"DO Demian elbarack","Kecewa saya proses refund susah ditelpon berulang ulang kali terlalu banyak kalimatnya sampai habis pulsa kita . Saya email juga ga ada respon saya wa juga ga ada respon aplikasi penipu",""
"Frans Official","Susah amat buat kata sandi. Sudah banyak kombinasi huruf, simbol angka yg digunakan, ngak ada satupun yang diterima. Repot",""
"apui boc","Jgn terlalu direpotkan org yg mau masuk dan belanja tiket serta jgn perbarui trs bikin repot bos",""
"AGLIS INDIT PRASOJO","Parah abis ga bisa booking tiket kereta...",""
"A U T H O R","aplikasi lelet dan lemot, loading terus,,, lamaaaaaa, hampir 3 jam tetep aja masih loading saat masuk.",""
"Pengguna Google","Mengecewakan. Aplikasi nya tidak terbuka. Dan seperti nya promonya ga ada. Sangat2 kecewa",""
"Fatimah Prehatiningsih","Lebih mahal daripada OTA yg lain",""
"Pengguna Google","katanya disko sampai 50%,tau2 nya harga tetap aja masih mahal min...",""
"Hadi Kakarotto","jarak pendek tidak ada diskon, padahal saya sering pakai",""
"Pengguna Google","payah .. gk hisa buat boking tiket kreta .. payah payah . eror mulu",""
"Simulia Putra","Kecewa karna sudah tidak ada lagi airasia di tiket. Com.. Sementata saya sering memesan airasia melalui tiket. Com",""
"Pengguna Google","pengembalian dana lama proses berbelit sudah pesan ga taunya sudah kadaluarsa saya sudah transfer",""
"Muhammad Sidiq","tiap buka youtube selalu muncul iklan ini terus, uninstal deh",""
"steve dafie","NOT RECOMENDED.. Kapok pesen tiket di aplikasi ini, CSR nya gak pernah angkat telepon",""
"Ayu Lestari","kenapa suka eror"" trs aplikasi ny di keterangan ny msh ada tpi pas mau di pesen eh malah di bilang kursi udah punuh kn gak sesuai banget",""
